9.100000000000000000e+01,1.040000000000000000e+02
1.390000000000000000e+02,1.000000000000000000e+02
1.930000000000000000e+02,1.160000000000000000e+02
2.800000000000000000e+01,8.900000000000000000e+01
1.730000000000000000e+02,9.100000000000000000e+01
2.180000000000000000e+02,9.700000000000000000e+01
2.500000000000000000e+02,1.010000000000000000e+02
6.700000000000000000e+01,9.700000000000000000e+01
8.100000000000000000e+01,8.100000000000000000e+01
7.300000000000000000e+01,8.300000000000000000e+01
