2.220000000000000000e+02,1.030000000000000000e+02
2.270000000000000000e+02,8.400000000000000000e+01
1.740000000000000000e+02,9.400000000000000000e+01
1.730000000000000000e+02,7.900000000000000000e+01
1.470000000000000000e+02,9.600000000000000000e+01
1.240000000000000000e+02,8.100000000000000000e+01
1.140000000000000000e+02,8.000000000000000000e+01
9.700000000000000000e+01,8.000000000000000000e+01
7.700000000000000000e+01,7.000000000000000000e+01
8.600000000000000000e+01,7.000000000000000000e+01
