6.000000000000000000e+01,7.100000000000000000e+01
8.600000000000000000e+01,6.600000000000000000e+01
5.200000000000000000e+01,1.030000000000000000e+02
7.200000000000000000e+01,1.220000000000000000e+02
1.120000000000000000e+02,1.060000000000000000e+02
1.370000000000000000e+02,9.800000000000000000e+01
1.390000000000000000e+02,1.850000000000000000e+02
1.730000000000000000e+02,1.520000000000000000e+02
2.120000000000000000e+02,7.300000000000000000e+01
1.940000000000000000e+02,7.300000000000000000e+01
1.750000000000000000e+02,6.200000000000000000e+01
1.610000000000000000e+02,5.300000000000000000e+01
1.130000000000000000e+02,4.500000000000000000e+01
1.190000000000000000e+02,7.300000000000000000e+01
