1.400000000000000000e+01,7.200000000000000000e+01
8.900000000000000000e+01,7.800000000000000000e+01
9.400000000000000000e+01,7.900000000000000000e+01
1.290000000000000000e+02,7.800000000000000000e+01
1.420000000000000000e+02,7.300000000000000000e+01
1.700000000000000000e+02,7.300000000000000000e+01
1.880000000000000000e+02,6.700000000000000000e+01
2.010000000000000000e+02,7.300000000000000000e+01
2.240000000000000000e+02,6.800000000000000000e+01
1.010000000000000000e+02,7.700000000000000000e+01
